,Domain,Page rank integer,Page rank decimal,Site Rank,Domain registrar,Postal code,Country of origin,Harmless,Malicious,Suspicious,Undetected,Timeout,No. of Local links,No. of Outbound links,Total links,Links to fake news site?,Wordpress?,Site Rating
117,ushealthyadvisor.com,3,2.77,7807307,Drop Catch Mining LLC,Statutory Masking Enabled,GI,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
118,usherald.com,4,3.6,2210462,"GoDaddy.com, LLC",85284,US,86,0,0,10,0,6,7,13,FALSE,FALSE,Fake
119,usinfonews.com,4,4.14,1022863,Key-Systems GmbH,22314,US,85,0,0,11,0,0,0,0,FALSE,FALSE,Fake
120,vigilantcitizen.com,4,4.32,184339,FastDomain Inc.,32256,US,83,0,0,13,0,86,11,97,FALSE,TRUE,Fake
121,viralliberty.com,3,3.21,4036601,DropCatch.com 1340 LLC,102,BG,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
122,voxtribune.com,2,1.65,55005554,ABOVE.COM PTY LTD.,,HK,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
123,weeklyworldnews.com,5,4.51,82081,"Network Solutions, LLC",10016-7419,US,83,0,0,13,0,86,9,95,FALSE,TRUE,Fake
124,yesimright.com,4,3.55,2453636,"GoDaddy.com, LLC",85284,US,86,1,0,9,0,25,3,28,FALSE,TRUE,Fake
125,beaconjournal.com,5,4.85,27420,"GoDaddy Corporate Domains, LLC",,US,82,0,0,14,0,35,5,40,FALSE,FALSE,Real
126,amny.com,5,5.02,19305,"GoDaddy.com, LLC",85284,US,84,0,0,12,0,96,27,123,FALSE,TRUE,Real
127,amarillo.com,5,4.64,50758,"GoDaddy Corporate Domains, LLC",,US,82,1,0,13,0,36,3,39,FALSE,FALSE,Real
128,arkansasonline.com,5,4.93,23121,"Amazon Registrar, Inc.",98108-1226,US,83,0,0,13,0,166,20,186,FALSE,FALSE,Real
129,ajc.com,6,5.63,4692,"CSC CORPORATE DOMAINS, INC.",30328,US,84,0,0,12,0,193,17,210,FALSE,FALSE,Real
130,baltimoresun.com,6,5.78,2496,"GoDaddy Corporate Domains, LLC",60654,US,84,0,0,12,0,194,26,220,FALSE,FALSE,Real
131,berkshireeagle.com,5,4.88,25363,"CSC CORPORATE DOMAINS, INC.",1201,US,86,0,0,10,0,165,42,207,FALSE,FALSE,Real
132,bismarcktribune.com,5,4.84,28153,"TUCOWS, INC.",REDACTED FOR PRIVACY,US,86,0,0,10,0,185,10,195,FALSE,FALSE,Real
